INFO:root:The following files are redundant: ['./1/2000-1-1-0.0.jpg']
INFO:root:The following files are redundant: ['./1/1.jpg']
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field Tag 0x3800 in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field Tag 0x3800 in MakerNote IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field RecordingMode in MakerNote IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field Tag 0x0000 in MakerNote IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Software in Image IFD
WARNING:exifread:Possibly corrupted field Tag 0x0804 in MakerNote IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTimeDigitized in EXIF IFD
WARNING:exifread:Possibly corrupted field DateTime in Image IFD
WARNING:exifread:Possibly corrupted field DateTimeOriginal in EXIF IFD
